LAND TYPE,EXTENT in Acres ,Survey no. ,Lat,Long,CURRENT STATUS ,
Non cultivable land( karab land),0.17,17,12.87665,77.755545,"Aadi dravida colony, mud road ",
Government Gunda thope ,0.29,34,12.876849,77.74688,Encroached and converted into graveyard ,
Government Gunda thope ,1.1,67,12.872078,77.750269,Over head tank,
Government Gunda thope ,1.14,123,12.871853,77.749736,"Converted into village graveyard, near the lake, compound around the thope built by the panchayat. ",
Government cemmetry ,0.12,95,12.8722,77.752716,"Converted into Anganwadi, Anjanaya temple ",
Government mata ,0.04,96,12.875422,77.75391,Encroached by a villager and have built a house ,
Government non cultivable nonexistant land,1.15,217,12.879775,77.755006,"government quarters, Community Toilet, commercial complex ",
Government Lime nest (Sunnada gudu),0. 10,218,12.87868,77.755334,"Encroachment by villagers and constructed houses, storm water drain beside, Eucalyptus trees in the thope ",
Government Gomala ,21.22,207,12.885107,77.744683,"630 Houses, Beerappa temples,Mariyamma temple, Aswathkatte, dharga , Panchayat office building, PHC",
Government Gomala ,40.19,180,12.884901,77.740517,"Government PU college, Housing colony, Overhead tank, Anganwadi, Govt LPS school, Vinayaka  nagara (extention) ",
Government Banjaru land (waste land),6. 33,233,12.884507,77.74103,"230 houses were sanctioned in 1975, 1978, 1980 under Ashraya yojana scheme, Mosque, ",
Government Cemmetry,1.27,17,12.860497,77.790728,"Farmer helpline centre has been established, few housing, fully encroached ",
Government Mapath kaval,2.04,43,12.8566,77.785889,Cultivation of Ragi by local farmers ,
Government Nagarabhavi Katte (Ashwath katte),1.07,29,12.85852,77.789495,"Kalyani, Aswath katte, 6 tamrind trees, 1 Mahua, Navagraha temple ",
Government Nagarabhavi Katte (Ashwath katte),1.07,74,12.858736,77.794067,"Kalyani, Aswath katte, Over head tank, Anganwadi ",
Govt pond,1.39,97,12.864,77.793145,"Munneshwara temple, open well with water, agriculture all around ",
Govt Amarai ,0.37,125,12.868081,77.787851,"illegal cultivation, channels are encroached",
Govt cemmetry ,1.27,128,12.868368,77.786946,"Hindu graveyard, no encroachments, 16 varieties of trees ",
Govt cemmetry ,0.11,130,12.868959,77.786788,"Hindu graveyard used by all sub castes, 3 borewells, 1 banyan tree ",
Someshwara Temple ,0.26,194,12.873147,77.787725,"Aswath katte, someshwara temple, choultry ",
Govt Amarai ,0.28,199,12.874323,77.786843,Illegal cultivation,
Mupath kaval,5.21,373,12.852693,77.793162,Illegal cultivation. ,
Cemmetry ,2.16,382,12.8558,77.793857,"SC community graveyard, compounded to evade from encroachments, 6 banyan trees",
Karab land ,1.22,432,12.852934,77.785579,"Converted into public road, temple, 1 banyan tree ",
Government Amarai ,1.21,435,12.852235,77.787024,"illegal cultivation by locals, land has been allocated for Ashreya housing scheme ",
Mupath kaval,3.21,438,12.855511,77.786246,"Jaibheem nagar, Mariyamma community hall, 2 Aswath katte ",
Government lower primary school ,0.26,469,12.861004,77.784816,Government boys school ,
Mupath kaval,1.25,528,12.867471,77.772667,"Storm water drain, earth mining, Eucalyptus and Honge trees  ",
Mupath kaval,0.13,530,12.862455,77.780371,"illegal cultivation, eucalyptus",
Government kapar sthana ,3. 10,553,12.864826,77.782482,Cemmetry used by Muslims ,
Government school building ,6.05,571,12.861327,77.784178,Government ground and school ,
Cemmetry ,2.25,609,12.865827,77.785597,"Water tank, village borewell ",
Amarai,1.15,598,12.852657,77.786611,"Encraoched, temple, Fig tree, peepal tree",
Government Cemmetry,1.15,610,12.858973,77.778698,"Used by Muslims, compounded all over and well maintained ",
Karnataka Electricity board ,1.14,611,12.858151,77.795977,Land sanctioned to BESCOM,
Karnataka Electricity board ,1.35,612,12.85911,77.795283,Land sanctioned to BESCOM,
Gunda thope ,0.1,14,12.837002,77.786284,"Housing, overhead tank ",Billapura 
Gomala,11.06,26,12.840425,77.793494,"land has been granted for agricultural practices, the land has been sold to infosys and has been compounded by them ",Billapura 
Gunda thope ,0.12,46,12.842246,77.790091,Converted into graveyard used by reddy community ,Billapura 
Thope,0.18,63,12.850022,77.767659,Encroached and used for agricultural practices ,Billapura 
Cemmetry,0.23,43,12.840001,77.788808,Hindu graveyard used by all the sub castes ,Billapura 
Cemmetry,0.05,28,12.841056,77.761406,Hindu graveyard used by all the sub castes ,Burgunte 
Gomala ,6.23,75,12.834787,77.776085,Sold to Wipro ,Burgunte 
Gomala,103.32,47,12.823849,77.80698,"land has been granted to local villagers before 1950,land is under the Prohibition of transfer of certain lands act, 1978, 4 acres is handed over to the panchayat",Adigara Kallahalli 
Cemmetry,0.22,60,12.823048,77800085,"SC community graveyard, compunded",Adigara Kallahalli 
Gunda thope ,2.19,71,12.866486,77.80071,"Illegal cultivation, land has been granted for play ground and school construction ",Adigara Kallahalli 
Gomala,5.33,79,12.8257919,77.7965793,land is vacant but has been put for auction,Adigara Kallahalli 
Gomala,35.22,81,12.832815,77.79818,"Masjid, Madrasa, kunte, Mariyamma temple, R.o filter, Janata colony ",Adigara Kallahalli 
Gomala ,1.07,161,12.823849,77.80698,Land has been allocated for Ashraya Yojana ,Adigara Kallahalli 
Hillock ,0.29,38,12.822943,77.769381,10 houses for SC and kuruba community- Kaccha houses ,Handenahalli
Gunda thope ,2.06,55,12.811361,77.767157,In 2017 this land was converted into cemmetry- DC order ,Handenahalli
Thope ,0. 20,122,12.825395,77.763601,Housing for BPL - kacha houses ,Handenahalli
Govt Thooru jaga ,0.21,154,12.82629,77.766883,"private encroachment, house on top. This land is adjacent to the lake. ",Handenahalli
Thope ,0.15,3,12.830498,77.758692,SC community have constructed their houses. ,Sollepura 
Government cattle waste pit,0.39,6,12.830188,77.757347,"Aswath katte, Muthalamma temple, Anganwadi kendra, bus stop",Sollepura 
Cemmetry ,2.09,50,12.829144,77.760643,"Cemmetry for General group, Munneshwara temple inside the boundary ",Sollepura 
Cemmetry ,1.13,52,12.827222,77.760294,"cemmetry allocated for SC community, banyan tree, fig tree ",Sollepura 
Gunda thope ,1.36,59,12.822531,77.757272,Land was used for agriculture by a SC family. But now it is vacant on one side and on the other side Muneshwara temple is being built. ,Sollepura 
Gunda thope ,0.07,60,12.82162,77.758276,"Vaccant land, Muneshwara temple",Sollepura 
Karab,0. 30,46,12.812177,77.795538,"Pond has water, bamboo all around, private lands all around",Byalahalli 
Gunda thope ,0.28,2,12.833855,77.768025,"has been compunded all around by the panchayat, structure for water storage for cattle. Channammana mata. ",Kotiganahalli 
Amarai,0.24,28,12.827036,77.772431,Siddeshwara temple was constructed in 1998 (Kuruba community),S. medahalli 
Amarai,1.2,30,12.827933,77.7884,encroached. ,S. medahalli 
Cemmetry ,0.32,99,12.825405,77.781636,"beside the lake, big native trees ",S. medahalli 
Cemmetry well ,1.02,102,12.825684,77.7833,"Encroached, pond has been made and used for agriculture purposes, borewell for village water supply, mini water tank, hollow brick factory ",S. medahalli 
Amarai,2.04,135,12.82426,77.785929,"Government L.P.S, muslim cemmetry, kunte, cemmetry used by Hindu community ",S. medahalli 
Cemmetry,1,138,12.826402,77.786516,"Storm water drain running next to it, planted with Honge and blackberry trees",S. medahalli 
Government land,0. 10,141,12.8248863,77.7835129,"Converted into Hindu cemmetry, public road, bamboo and tamrind trees ",S. medahalli 
Amarai,1.26,190,12.819703,77.785277,"Encroached, BEML layout beside ",S. medahalli 
Arenuru lake ,10.16,67,12.814817,77.814817,"Lake, BEML layout beside ",S. medahalli 
Gomala,93.06,33,12.823895,77.791606,"SC colony 90 houses, 2 Ashwath katte, Eshwara temple, Buddha temple, Community hall, kadu malleshwara temple, native trees",S. medahalli 
Gomala,82.08,117,12.82836,77.779174,"Sulthan palya village has been set up, land grants to BPL holders, Indus International school beside it, agriculture land, layouts",S. medahalli 
Cemmetry ,0.15,18,12.89452,77.804782,"Cemmetry is not present, Village over tank is situated and veterinary hospital is present.",Mugalur 
Thope ,0.31,78,12.896484,77.825312,"Three big banayan trees, cemmetry used by lingayats",Mugalur 
Gomala ,0.09,79,12.896137,77.825204,"gomala is not present, road runs on this land. There is a channel that runs here ",Mugalur 
Gomala ,3.2,88,12.894131,77.824914,"gomala Is being by occupied by Two Ashwath kattes, Navagraha temple, Choultry ",Mugalur 
Cemmetry ,2.28,107,12.892847,77.827472,"Cemmetry is present, general graveyard",Mugalur 
Gomala ,41.11,160,12.8844778,77.816579,land is being granted to villagers and some land is sold for real estate,Mugalur 
Cemmetry,0.09,27,12.875127,77.809851,"Pond does not exist, converted into graveyard. ",Mahal Chowdadhenahalli 
Cemmetry ,0.35,43,12.875886,77.811559,"Village common graveyard, compunded all over.",Mahal Chowdadhenahalli 
Gunda thope ,0.17,46,12.874299,77.810816,"No gunda thope, new village being set up with 13 houses",Mahal Chowdadhenahalli 
Gunda thope ,0.33,76,12.870477,77.81135,"Gunda thope is encroached by localites, farming activity held, Katyaramma temple present. ",Mahal Chowdadhenahalli 
